measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091719.csv	p1	0.47915	0	106.52	830	0
BD18_1510091719.csv	p2	0.59793	56.737	113.505	1034	114
BD18_1510091719.csv	p4	0.54844	7.425	232.723	949	15
BD18_1510091719.csv	p5	0.4972	6.989	231.87	861	14
BD18_1510091719.csv	p6	0.45236	4.493	198.354	784	9
BD18_1510091719.csv	p7	0.53796	7.425	56.2239	931	15
BD18_1510091719.csv	p8	0.59735	29.437	171.196	1033	59
BD18_1510091719.csv	p9	0.59793	19.438	269.433	1034	39
BD18_1510091719.csv	p10	0.64393	29.437	284.31	1113	59
BD18_1510091719.csv	p11	0.59793	37.846	259.606	1034	76
BD18_1510091719.csv	p12	1.1406	97.656	51.7717	1966	196
BD18_1510091719.csv	p14	0.92458	100.043	120.756	1595	201
BD18_1510091719.csv	p15	0.60667	102.523	97.4601	1049	206
