measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091712.csv	p1	0.47857	0	91.3535	829	0
BD18_1510091712.csv	p2	0.45236	4.4	197.869	784	9
BD18_1510091712.csv	p3	0.4972	6.506	224.405	861	13
BD18_1510091712.csv	p4	0.54844	7.457	396.65	949	15
BD18_1510091712.csv	p5	0.59793	19.454	137.323	1034	39
BD18_1510091712.csv	p6	0.59793	29.36	98.6025	1034	59
BD18_1510091712.csv	p7	0.64393	29.36	156.638	1113	59
BD18_1510091712.csv	p8	0.59793	37.378	91.6239	1034	75
BD18_1510091712.csv	p10	0.92458	98.546	122.576	1595	198
BD18_1510091712.csv	p12	0.60667	101.556	94.456	1049	204
BD18_1510091712.csv	p13	0.88848	116.985	52.6926	1533	235
