measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091705.csv	p1	0.47892	0	115.495	830	0
BD18_1510091705.csv	p2	0.64362	29.344	255.401	1113	59
BD18_1510091705.csv	p3	0.59764	29.344	168.012	1034	59
BD18_1510091705.csv	p4	0.54818	7.472	222.671	949	15
BD18_1510091705.csv	p5	0.49696	6.49	209.195	861	13
BD18_1510091705.csv	p6	0.59764	37.83	221.869	1034	76
BD18_1510091705.csv	p7	0.53828	7.987	74.0466	932	16
BD18_1510091705.csv	p8	0.59764	19.469	249.137	1034	39
BD18_1510091705.csv	p9	0.45215	4.462	203.549	784	9
BD18_1510091705.csv	p10	0.92414	98.046	123.85	1595	197
BD18_1510091705.csv	p11	0.60696	101.104	106.024	1050	203
BD18_1510091705.csv	p13	0.88806	117.499	51.0849	1533	236
