measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091750.csv	p1	0.47949	0	142.345	830	0
BD18_1510091750.csv	p3	0.58729	3.526	96.3361	1015	7
BD18_1510091750.csv	p4	0.45269	4.493	188.182	784	9
BD18_1510091750.csv	p6	0.97478	95.613	56.1024	1680	192
BD18_1510091750.csv	p7	0.95322	96.58	53.2108	1643	194
BD18_1510091750.csv	p8	0.54825	7.488	394.302	948	15
BD18_1510091750.csv	p9	0.49756	6.49	235.224	861	13
BD18_1510091750.csv	p10	0.93224	98.592	52.7977	1607	198
BD18_1510091750.csv	p11	0.97886	98.062	54.6532	1687	197
BD18_1510091750.csv	p15	0.96487	95.613	52.6604	1663	192
BD18_1510091750.csv	p16	0.60652	91.167	96.2514	1048	183
BD18_1510091750.csv	p20	0.92467	103.085	109.717	1594	207
BD18_1510091750.csv	p23	0.846	29.422	686.77	1459	59
BD18_1510091750.csv	p25	1.14143	96.143	64.1624	1966	193
BD18_1510091750.csv	p29	0.60652	105.565	104.789	1048	212
BD18_1510091750.csv	p30	0.94623	95.613	52.1827	1631	192
BD18_1510091750.csv	p31	0.95788	96.58	52.316	1651	194
BD18_1510091750.csv	p32	0.98235	95.613	54.4997	1693	192
BD18_1510091750.csv	p33	0.64381	31.964	362.332	1112	64
