measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091652.csv	p1	0.47869	0	138.601	830	0
BD18_1510091652.csv	p3	0.58572	3.416	60.1245	1014	7
BD18_1510091652.csv	p4	0.45193	4.477	191.838	784	9
BD18_1510091652.csv	p5	0.49672	6.427	216.203	861	13
BD18_1510091652.csv	p7	0.94522	96.954	54.3805	1632	195
BD18_1510091652.csv	p8	0.50836	10.935	52.6199	881	22
BD18_1510091652.csv	p9	0.53628	7.94	68.8017	929	16
BD18_1510091652.csv	p10	0.54791	7.41	332.482	949	15
BD18_1510091652.csv	p11	1.13951	98.015	57.7088	1966	197
BD18_1510091652.csv	p12	0.64331	19.827	103.461	1113	40
BD18_1510091652.csv	p13	0.93998	98.452	57.6768	1623	198
BD18_1510091652.csv	p14	0.80386	19.391	89.1477	1389	39
BD18_1510091652.csv	p15	0.81259	29.312	107.889	1404	59
BD18_1510091652.csv	p16	0.97372	98.015	50.4541	1681	197
BD18_1510091652.csv	p17	0.844	29.312	92.7196	1458	59
BD18_1510091652.csv	p18	0.9237	100.402	122.684	1595	202
BD18_1510091652.csv	p20	0.64273	29.312	449.403	1112	59
BD18_1510091652.csv	p21	0.60608	102.508	102.844	1049	206
BD18_1510091652.csv	p23	0.59678	28.267	134.405	1033	57
BD18_1510091652.csv	p25	0.59736	19.391	352.583	1034	39
BD18_1510091652.csv	p26	0.59736	37.814	450.451	1034	76
BD18_1510091652.csv	p27	0.59736	56.69	125.856	1034	114
