measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091702.csv	p1	0.47892	0	129.213	830	0
BD18_1510091702.csv	p2	0.45215	4.54	191.236	784	9
BD18_1510091702.csv	p4	0.97943	97.578	55.1144	1690	196
BD18_1510091702.csv	p6	1.14006	97.578	68.9534	1966	196
BD18_1510091702.csv	p7	0.49696	6.037	239.906	861	12
BD18_1510091702.csv	p8	0.96197	98.109	51.8191	1660	197
BD18_1510091702.csv	p9	0.54818	7.55	515.704	949	15
BD18_1510091702.csv	p12	0.95382	98.109	53.426	1646	197
BD18_1510091702.csv	p13	0.64304	28.455	432.584	1112	57
BD18_1510091702.csv	p14	0.53537	7.004	54.6426	927	14
BD18_1510091702.csv	p16	0.94218	98.639	58.5132	1626	198
BD18_1510091702.csv	p17	0.59764	19.469	67.1926	1034	39
BD18_1510091702.csv	p18	0.92414	102.009	118.176	1595	205
BD18_1510091702.csv	p19	0.97536	98.109	54.9633	1683	197
BD18_1510091702.csv	p22	0.60637	104.551	84.4513	1049	210
BD18_1510091702.csv	p23	0.84557	29.422	524.94	1460	59
BD18_1510091702.csv	p26	0.94567	96.065	56.7954	1632	193
