measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091753.csv	p2	0.45258	4.04	171.064	784	8
BD18_1510091753.csv	p3	0.58715	3.51	99.058	1015	7
BD18_1510091753.csv	p5	1.14057	97.094	61.7639	1965	195
BD18_1510091753.csv	p9	0.49511	11.497	100.056	857	23
BD18_1510091753.csv	p10	0.49744	5.007	198.333	861	10
BD18_1510091753.csv	p11	0.8458	29.921	652.332	1459	60
BD18_1510091753.csv	p13	0.54754	2.542	76.4939	947	5
BD18_1510091753.csv	p14	0.97687	99.138	55.4377	1684	199
BD18_1510091753.csv	p16	0.94367	99.575	54.6924	1627	200
BD18_1510091753.csv	p17	0.95299	98.607	53.5035	1643	198
BD18_1510091753.csv	p18	0.64366	27.908	368.565	1112	56
BD18_1510091753.csv	p25	0.92444	102.648	109.55	1594	206
BD18_1510091753.csv	p27	0.47763	53.321	80.9431	827	107
BD18_1510091753.csv	p30	0.88833	117.499	62.8217	1532	236
BD18_1510091753.csv	p32	0.47763	67.251	81.3698	827	135
BD18_1510091753.csv	p44	0.47763	79.201	81.9655	827	159
BD18_1510091753.csv	p45	0.47763	147.451	86.2242	827	296
BD18_1510091753.csv	p50	0.60637	105.05	103.73	1048	211
BD18_1510091753.csv	p52	0.96755	97.094	51.9654	1668	195
BD18_1510091753.csv	p53	0.54754	7.581	912.651	947	15
BD18_1510091753.csv	p54	0.5353	10.53	54.0675	926	21
BD18_1510091753.csv	p57	0.47763	25.506	66.4864	827	51
BD18_1510091753.csv	p58	0.47763	0	201.98	827	0
