measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091729.csv	p1	0.47868	0	100.479	829	0
BD18_1510091729.csv	p2	0.59807	29.453	130.775	1034	59
BD18_1510091729.csv	p3	0.64408	29.453	172.489	1113	59
BD18_1510091729.csv	p4	0.59807	37.846	143.337	1034	76
BD18_1510091729.csv	p5	0.59807	56.737	57.5836	1034	114
BD18_1510091729.csv	p6	0.54857	7.503	205.122	949	15
BD18_1510091729.csv	p7	0.49732	6.521	213.26	861	13
BD18_1510091729.csv	p8	0.45247	4.571	216.983	784	9
BD18_1510091729.csv	p10	0.5375	7.94	53.9028	930	16
BD18_1510091729.csv	p11	0.59807	19.391	178.272	1034	39
BD18_1510091729.csv	p12	0.92422	98.608	121.26	1594	198
BD18_1510091729.csv	p14	0.60681	101.525	94.5753	1049	204
