measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091803.csv	p1	0.47868	0	129.174	829	0
BD18_1510091803.csv	p3	0.958	96.049	52.7331	1652	193
BD18_1510091803.csv	p4	0.58643	3.432	125.294	1014	7
BD18_1510091803.csv	p5	0.45247	4.383	205.029	784	9
BD18_1510091803.csv	p9	0.49732	5.99	217.155	861	12
BD18_1510091803.csv	p11	0.54799	7.425	602.372	948	15
BD18_1510091803.csv	p12	0.53576	8.907	59.3955	927	18
BD18_1510091803.csv	p13	0.59749	19.438	84.5531	1033	39
BD18_1510091803.csv	p14	0.6435	27.877	368.062	1112	56
BD18_1510091803.csv	p15	1.1403	96.049	63.5923	1965	193
BD18_1510091803.csv	p21	0.94461	95.066	51.9715	1629	191
BD18_1510091803.csv	p25	0.97373	96.049	55.7071	1679	193
BD18_1510091803.csv	p27	0.95218	95.066	52.1085	1642	191
BD18_1510091803.csv	p32	0.96383	98.108	52.1344	1662	197
BD18_1510091803.csv	p33	0.8456	29.921	625.91	1459	60
BD18_1510091803.csv	p36	0.97722	96.049	56.0375	1685	193
BD18_1510091803.csv	p37	0.92364	102.991	107.753	1593	207
BD18_1510091803.csv	p39	0.60681	105.097	97.2501	1049	211
