measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091800.csv	p2	0.4528	4.368	160.593	784	9
BD18_1510091800.csv	p3	0.49768	4.976	207.669	861	10
BD18_1510091800.csv	p4	0.94704	94.989	50.3178	1632	191
BD18_1510091800.csv	p5	0.97793	94.989	55.5692	1685	191
BD18_1510091800.csv	p6	0.58685	3.401	118.528	1014	7
BD18_1510091800.csv	p8	1.14053	97.453	62.7816	1964	196
BD18_1510091800.csv	p10	0.95753	97.017	51.3634	1650	195
BD18_1510091800.csv	p12	0.96219	94.989	51.2441	1658	191
BD18_1510091800.csv	p14	0.53556	10.889	57.9547	926	22
BD18_1510091800.csv	p15	0.93188	97.017	52.1724	1606	195
BD18_1510091800.csv	p16	0.5478	2.886	110.827	947	6
BD18_1510091800.csv	p18	0.9517	94.989	51.6109	1640	191
BD18_1510091800.csv	p21	0.5478	7.909	975.58	947	16
BD18_1510091800.csv	p23	0.49476	12.386	110.416	856	25
BD18_1510091800.csv	p26	0.47961	24.882	113.544	830	50
BD18_1510091800.csv	p27	0.47961	0	305.663	830	0
BD18_1510091800.csv	p28	0.92489	103.475	107.152	1594	208
BD18_1510091800.csv	p35	0.47961	147.81	144.05	830	297
BD18_1510091800.csv	p39	0.60608	106.033	105.146	1047	213
BD18_1510091800.csv	p40	0.84621	29.312	696.998	1459	59
BD18_1510091800.csv	p41	0.64338	32.276	340.734	1111	65
BD18_1510091800.csv	p45	0.47961	51.683	135.7	830	104
BD18_1510091800.csv	p47	0.47961	63.648	135.978	830	128
BD18_1510091800.csv	p52	0.47961	80.122	138.258	830	161
