measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091656.csv	p1	0.4788	0	129.84	830	0
BD18_1510091656.csv	p2	0.58645	3.541	54.877	1015	7
BD18_1510091656.csv	p3	0.5975	56.768	105.091	1034	114
BD18_1510091656.csv	p4	0.5975	37.331	292.124	1034	75
BD18_1510091656.csv	p5	0.49684	6.521	223.746	861	13
BD18_1510091656.csv	p6	0.54863	7.488	230.588	950	15
BD18_1510091656.csv	p7	0.45204	4.508	197.228	784	9
BD18_1510091656.csv	p8	0.53641	7.488	69.4524	929	15
BD18_1510091656.csv	p9	0.64405	19.391	58.5182	1114	39
BD18_1510091656.csv	p10	0.81279	29.453	53.7759	1404	59
BD18_1510091656.csv	p11	0.64289	29.453	289.378	1112	59
BD18_1510091656.csv	p12	0.5975	29.453	183.487	1034	59
BD18_1510091656.csv	p13	0.5975	19.391	297.254	1034	39
BD18_1510091656.csv	p14	1.13978	97.5	50.2469	1966	196
BD18_1510091656.csv	p15	0.92392	100.074	123.352	1595	201
BD18_1510091656.csv	p17	0.60623	102.04	107.2	1049	205
