measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091709.csv	p2	0.49277	51.729	318.739	854	104
BD18_1510091709.csv	p4	0.84537	28.844	749.084	1460	58
BD18_1510091709.csv	p5	0.49277	79.076	311.877	854	159
BD18_1510091709.csv	p9	0.51255	50.809	78.4059	888	102
BD18_1510091709.csv	p14	0.51255	64.724	74.9866	888	130
BD18_1510091709.csv	p16	0.51255	79.076	73.5545	888	159
BD18_1510091709.csv	p19	0.48346	0	1022.8	838	0
BD18_1510091709.csv	p22	1.13978	95.082	70.1461	1966	191
BD18_1510091709.csv	p23	0.64289	26.816	317.056	1112	54
BD18_1510091709.csv	p24	0.60681	90.09	105.571	1050	181
BD18_1510091709.csv	p27	0.49451	6.973	479.603	857	14
BD18_1510091709.csv	p29	0.64289	32.853	384.367	1112	66
BD18_1510091709.csv	p34	0.94661	93.054	50.3867	1634	187
BD18_1510091709.csv	p35	0.53699	7.971	64.6077	930	16
BD18_1510091709.csv	p37	0.54804	7.41	302.645	949	15
BD18_1510091709.csv	p38	0.48811	51.729	1006.49	846	104
BD18_1510091709.csv	p39	0.92392	104.941	106.363	1595	211
BD18_1510091709.csv	p40	0.45204	4.399	202.293	784	9
BD18_1510091709.csv	p41	0.48811	64.724	989.519	846	130
BD18_1510091709.csv	p42	0.48811	79.076	997.478	846	159
BD18_1510091709.csv	p44	0.48346	15.927	839.015	838	32
BD18_1510091709.csv	p45	0.96523	94.551	51.7215	1666	190
BD18_1510091709.csv	p50	0.94196	93.054	50.8247	1626	187
BD18_1510091709.csv	p55	0.48346	148.746	859.209	838	299
BD18_1510091709.csv	p58	0.44797	14.882	71.9524	777	30
BD18_1510091709.csv	p59	0.48346	51.292	854.499	838	103
BD18_1510091709.csv	p62	0.49277	24.928	273.338	854	50
BD18_1510091709.csv	p64	0.48811	148.746	1013.76	846	299
BD18_1510091709.csv	p65	0.48346	64.724	844.619	838	130
BD18_1510091709.csv	p67	0.49277	148.746	316.649	854	299
BD18_1510091709.csv	p68	0.50731	13.462	56.4595	879	27
BD18_1510091709.csv	p69	0.50731	0	63.3941	879	0
BD18_1510091709.csv	p73	0.51255	0	79.4368	888	0
BD18_1510091709.csv	p74	0.51255	15.397	84.6092	888	31
BD18_1510091709.csv	p76	0.51255	21.403	78.032	888	43
BD18_1510091709.csv	p77	0.51255	147.794	67.1452	888	297
BD18_1510091709.csv	p81	0.97512	94.021	54.7641	1683	189
BD18_1510091709.csv	p87	0.44797	51.292	50.0228	777	103
BD18_1510091709.csv	p88	0.48811	15.397	1036.57	846	31
BD18_1510091709.csv	p89	0.48811	0	1053.43	846	0
BD18_1510091709.csv	p90	0.95825	94.551	50.9571	1654	190
BD18_1510091709.csv	p91	0.48811	3.962	865.44	846	8
BD18_1510091709.csv	p92	0.48811	24.928	905.876	846	50
BD18_1510091709.csv	p93	0.60681	144.253	50.6089	1050	290
BD18_1510091709.csv	p95	0.60623	109.98	109.553	1049	221
BD18_1510091709.csv	p100	0.97919	94.551	52.8339	1690	190
BD18_1510091709.csv	p102	0.98385	101.088	50.1913	1698	203
BD18_1510091709.csv	p104	0.95068	93.491	51.8257	1641	188
