measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091729.csv	p1	0.47868	0	100.479	829	0
BD18_1510091729.csv	p2	0.50431	0	13.4981	873	0
BD18_1510091729.csv	p3	0.90151	98.608	12.7846	1555	198
BD18_1510091729.csv	p4	0.68311	29.89	13.2284	1180	60
BD18_1510091729.csv	p5	0.66097	102.055	10.1741	1142	205
BD18_1510091729.csv	p6	0.59807	29.453	130.775	1034	59
BD18_1510091729.csv	p7	0.5375	7.94	53.9028	930	16
BD18_1510091729.csv	p8	0.64408	29.453	172.489	1113	59
BD18_1510091729.csv	p9	0.59807	37.846	143.337	1034	76
BD18_1510091729.csv	p10	0.64467	19.391	28.6996	1114	39
BD18_1510091729.csv	p11	1.01741	97.656	21.216	1754	196
BD18_1510091729.csv	p12	0.59807	56.737	57.5836	1034	114
BD18_1510091729.csv	p14	0.57711	23.416	15.6192	998	47
BD18_1510091729.csv	p15	0.58701	3.525	43.1354	1015	7
BD18_1510091729.csv	p16	1.05818	97.126	14.5753	1824	195
BD18_1510091729.csv	p18	0.89277	98.608	11.1012	1540	198
BD18_1510091729.csv	p19	0.59807	19.391	178.272	1034	39
BD18_1510091729.csv	p20	0.84327	29.453	10.0961	1455	59
BD18_1510091729.csv	p21	0.89627	97.656	11.7746	1546	196
BD18_1510091729.csv	p22	1.05061	98.093	15.9007	1811	197
BD18_1510091729.csv	p23	0.54857	7.503	205.122	949	15
BD18_1510091729.csv	p24	0.97606	97.656	35.6029	1683	196
BD18_1510091729.csv	p25	1.03372	98.093	18.1316	1782	197
BD18_1510091729.csv	p26	0.75765	7.94	15.9611	1308	16
BD18_1510091729.csv	p27	0.92422	98.608	121.26	1594	198
BD18_1510091729.csv	p28	0.49732	6.521	213.26	861	13
BD18_1510091729.csv	p29	0.45189	11.014	14.2039	783	22
BD18_1510091729.csv	p30	1.02381	97.656	20.8022	1765	196
BD18_1510091729.csv	p31	1.1403	97.656	32.9094	1965	196
BD18_1510091729.csv	p32	0.81298	29.453	14.6925	1403	59
BD18_1510091729.csv	p34	1.10069	97.656	11.0958	1897	196
BD18_1510091729.csv	p35	0.45247	4.571	216.983	784	9
BD18_1510091729.csv	p36	0.73902	94.084	27.7921	1276	189
BD18_1510091729.csv	p38	0.83744	29.453	10.1234	1445	59
BD18_1510091729.csv	p39	1.07798	97.656	13.3397	1858	196
BD18_1510091729.csv	p41	1.08904	98.093	11.7525	1877	197
BD18_1510091729.csv	p42	0.60681	101.525	94.5753	1049	204
BD18_1510091729.csv	p43	0.8887	117.53	48.7288	1533	236
BD18_1510091729.csv	p45	1.10535	97.656	11.1127	1905	196
BD18_1510091729.csv	p46	0.96499	97.656	33.2745	1664	196
BD18_1510091729.csv	p48	1.11467	97.656	11.7933	1921	196
BD18_1510091729.csv	p49	1.12166	97.656	10.8796	1933	196
BD18_1510091729.csv	p50	1.04245	97.656	17.9835	1797	196
BD18_1510091729.csv	p51	1.064	98.093	14.2926	1834	197
BD18_1510091729.csv	p53	1.00168	97.656	24.7149	1727	196
BD18_1510091729.csv	p54	1.01158	97.656	22.174	1744	196
BD18_1510091729.csv	p55	1.00634	97.656	23.0675	1735	196
BD18_1510091729.csv	p56	1.0675	97.656	13.3436	1840	196
