measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091756.csv	p2	1.08756	98.561	22.2862	1874	198
BD18_1510091756.csv	p3	0.44617	2.044	94.2468	773	4
BD18_1510091756.csv	p5	0.50093	0	19.3915	867	0
BD18_1510091756.csv	p7	1.11436	96.159	21.2182	1920	193
BD18_1510091756.csv	p8	0.47588	52.806	62.2888	824	106
BD18_1510091756.csv	p10	0.61861	73.695	14.6832	1069	148
BD18_1510091756.csv	p14	0.50559	0	19.1333	875	0
BD18_1510091756.csv	p22	0.44501	146.438	25.6762	771	294
BD18_1510091756.csv	p24	0.53822	7.426	54.0746	931	15
BD18_1510091756.csv	p30	0.47588	79.171	62.9774	824	159
BD18_1510091756.csv	p32	0.75842	7.426	14.1206	1309	15
BD18_1510091756.csv	p37	0.60637	74.225	29.9751	1048	149
BD18_1510091756.csv	p39	0.47588	148.918	71.1304	824	299
BD18_1510091756.csv	p43	0.60637	58.844	22.984	1048	118
BD18_1510091756.csv	p45	0.63142	90.2	12.3253	1091	181
BD18_1510091756.csv	p46	0.95707	94.568	50.629	1650	190
BD18_1510091756.csv	p47	0.58657	3.526	110.721	1014	7
BD18_1510091756.csv	p49	0.73919	106.517	14.2103	1276	214
BD18_1510091756.csv	p53	0.60637	90.637	98.3149	1048	182
BD18_1510091756.csv	p54	0.47996	148.918	652.072	831	299
BD18_1510091756.csv	p55	0.54812	7.426	231.187	948	15
BD18_1510091756.csv	p60	0.59647	23.946	17.6415	1031	48
BD18_1510091756.csv	p61	1.11902	96.596	20.6698	1928	194
BD18_1510091756.csv	p66	0.81027	27.909	12.7194	1398	56
BD18_1510091756.csv	p67	0.44501	52.37	27.3189	771	105
BD18_1510091756.csv	p69	1.03396	100.075	34.7653	1782	201
BD18_1510091756.csv	p71	1.05843	99.092	27.9224	1824	199
BD18_1510091756.csv	p74	0.99086	99.544	47.6705	1708	200
BD18_1510091756.csv	p76	0.44501	65.739	26.8932	771	132
BD18_1510091756.csv	p80	0.49569	53.321	54.5769	858	107
BD18_1510091756.csv	p81	0.49045	146.89	204.457	849	295
BD18_1510091756.csv	p82	0.97746	99.544	54.5209	1685	200
BD18_1510091756.csv	p84	0.92444	104.053	104.615	1594	209
BD18_1510091756.csv	p85	0.81551	27.909	11.798	1407	56
BD18_1510091756.csv	p87	0.44501	79.171	26.2231	771	159
BD18_1510091756.csv	p89	0.49569	64.74	53.8625	858	130
BD18_1510091756.csv	p92	0.88833	116.985	48.0522	1532	235
BD18_1510091756.csv	p94	0.52482	9.017	12.2822	908	18
BD18_1510091756.csv	p98	0.49569	79.171	53.2827	858	159
BD18_1510091756.csv	p100	0.61861	120.557	25.4276	1069	242
BD18_1510091756.csv	p102	1.13999	99.092	63.6261	1964	199
BD18_1510091756.csv	p103	0.45142	9.969	24.435	782	20
BD18_1510091756.csv	p105	0.99959	98.561	45.2018	1723	198
BD18_1510091756.csv	p111	0.45258	4.524	211.075	784	9
BD18_1510091756.csv	p115	0.89881	27.456	19.8543	1550	55
BD18_1510091756.csv	p117	0.50618	14.025	12.0795	876	28
BD18_1510091756.csv	p118	1.0963	98.109	20.6633	1889	197
BD18_1510091756.csv	p121	0.62385	73.695	12.3815	1078	148
BD18_1510091756.csv	p123	0.49569	144.41	52.9008	858	290
BD18_1510091756.csv	p126	0.50967	12.449	14.387	882	25
BD18_1510091756.csv	p128	0.47996	52.806	629.291	831	106
BD18_1510091756.csv	p131	0.62327	90.2	44.1594	1077	181
BD18_1510091756.csv	p132	0.73803	90.637	14.3206	1274	182
BD18_1510091756.csv	p135	0.60637	133.958	46.4884	1048	269
BD18_1510091756.csv	p136	0.91571	27.456	16.0386	1579	55
BD18_1510091756.csv	p137	0.59589	37.862	17.971	1030	76
BD18_1510091756.csv	p141	0.44501	24.867	23.4085	771	50
BD18_1510091756.csv	p142	0.44501	16.006	26.9327	771	32
BD18_1510091756.csv	p145	0.46481	0	11.3248	805	0
BD18_1510091756.csv	p147	0.46948	0	14.7343	813	0
BD18_1510091756.csv	p148	0.8458	29.937	730.742	1459	60
BD18_1510091756.csv	p149	0.47588	5.039	21.4687	824	10
BD18_1510091756.csv	p150	0.47996	78.734	630.131	831	158
BD18_1510091756.csv	p152	0.60637	107.063	103.216	1048	215
BD18_1510091756.csv	p153	0.47588	16.458	52.0988	824	33
BD18_1510091756.csv	p156	0.61861	146.438	11.1501	1069	294
BD18_1510091756.csv	p158	0.68618	33.384	43.0441	1185	67
BD18_1510091756.csv	p159	0.49045	79.171	203.696	849	159
BD18_1510091756.csv	p165	0.49627	6.989	286.605	859	14
BD18_1510091756.csv	p167	0.95182	94.115	51.1373	1641	189
BD18_1510091756.csv	p168	0.49045	0	190.647	849	0
BD18_1510091756.csv	p169	0.49103	15.023	215.875	850	30
BD18_1510091756.csv	p170	0.49045	53.321	206.673	849	107
BD18_1510091756.csv	p171	0.49045	24.867	182.536	849	50
BD18_1510091756.csv	p172	0.49103	4.524	191.514	850	9
BD18_1510091756.csv	p173	0.49045	64.304	204.17	849	129
BD18_1510091756.csv	p174	0.946	100.589	48.9578	1631	202
BD18_1510091756.csv	p177	0.64366	26.926	307.623	1112	54
BD18_1510091756.csv	p179	1.03862	94.568	32.8806	1790	190
BD18_1510091756.csv	p180	0.68618	26.489	33.0638	1185	53
BD18_1510091756.csv	p181	0.71881	26.926	14.1606	1241	54
BD18_1510091756.csv	p185	0.47996	0	820.107	831	0
BD18_1510091756.csv	p189	0.47996	16.458	563.241	831	33
BD18_1510091756.csv	p192	0.64307	32.932	357.113	1111	66
BD18_1510091756.csv	p193	1.06775	95.192	26.1279	1840	191
BD18_1510091756.csv	p195	1.006	96.159	44.0913	1734	193
BD18_1510091756.csv	p196	0.61861	59.28	11.1397	1069	119
BD18_1510091756.csv	p197	0.47996	24.867	533.405	831	50
BD18_1510091756.csv	p201	0.82366	28.439	14.0847	1421	57
BD18_1510091756.csv	p202	1.08989	94.568	21.4749	1878	190
BD18_1510091756.csv	p204	0.61453	59.28	13.9181	1062	119
BD18_1510091756.csv	p207	0.89532	93.133	18.6023	1544	187
BD18_1510091756.csv	p208	0.62385	124.005	20.6442	1078	249
BD18_1510091756.csv	p210	0.62327	106.517	37.6116	1077	214
BD18_1510091756.csv	p211	1.07241	96.159	25.8196	1848	193
BD18_1510091756.csv	p216	1.01357	98.561	41.0036	1747	198
