measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091652.csv	p1	0.47869	0	138.601	830	0
BD18_1510091652.csv	p2	0.50428	0	14.8042	874	0
BD18_1510091652.csv	p3	1.0889	98.015	18.8368	1879	197
BD18_1510091652.csv	p6	0.97838	98.015	49.8667	1689	197
BD18_1510091652.csv	p7	0.51417	63.149	11.3371	891	127
BD18_1510091652.csv	p10	0.58572	3.416	60.1245	1014	7
BD18_1510091652.csv	p11	0.54791	7.41	332.482	949	15
BD18_1510091652.csv	p12	0.96267	96.954	46.4238	1662	195
BD18_1510091652.csv	p13	0.97372	98.015	50.4541	1681	197
BD18_1510091652.csv	p14	1.0953	96.954	17.1007	1890	195
BD18_1510091652.csv	p15	1.02201	98.015	31.8865	1764	197
BD18_1510091652.csv	p16	1.0796	97.484	20.0719	1863	196
BD18_1510091652.csv	p17	0.89519	97.484	11.6748	1546	196
BD18_1510091652.csv	p18	0.93998	98.452	57.6768	1623	198
BD18_1510091652.csv	p19	0.45193	4.477	191.838	784	9
BD18_1510091652.csv	p20	0.48974	63.679	12.2927	849	128
BD18_1510091652.csv	p22	1.03946	97.484	27.3226	1794	196
BD18_1510091652.csv	p24	0.64331	19.827	103.461	1113	40
BD18_1510091652.csv	p25	1.04469	96.954	26.497	1803	195
BD18_1510091652.csv	p26	0.57874	7.94	16.1347	1002	16
BD18_1510091652.csv	p27	1.07145	98.015	20.6625	1849	197
BD18_1510091652.csv	p29	0.49672	6.427	216.203	861	13
BD18_1510091652.csv	p30	1.0761	96.954	20.6346	1857	195
BD18_1510091652.csv	p33	0.48974	83.039	13.6986	849	167
BD18_1510091652.csv	p34	1.10635	96.954	18.0383	1909	195
BD18_1510091652.csv	p36	0.80386	19.391	89.1477	1389	39
BD18_1510091652.csv	p38	0.94522	96.954	54.3805	1632	195
BD18_1510091652.csv	p40	1.11682	98.015	18.3974	1927	197
BD18_1510091652.csv	p41	0.56827	7.94	18.4269	984	16
BD18_1510091652.csv	p42	1.06331	97.484	23.1099	1835	196
BD18_1510091652.csv	p43	0.50836	10.935	52.6199	881	22
BD18_1510091652.csv	p44	0.51359	15.865	19.0689	890	32
BD18_1510091652.csv	p45	0.84924	19.827	49.3462	1467	40
BD18_1510091652.csv	p46	0.9237	100.402	122.684	1595	202
BD18_1510091652.csv	p47	0.53628	7.94	68.8017	929	16
BD18_1510091652.csv	p48	0.86553	19.827	22.882	1495	40
BD18_1510091652.csv	p49	0.71777	29.765	14.4005	1241	60
BD18_1510091652.csv	p51	0.82772	19.827	36.3995	1430	40
BD18_1510091652.csv	p52	0.6375	23.291	18.966	1103	47
BD18_1510091652.csv	p53	1.00397	97.484	36.9498	1733	196
BD18_1510091652.csv	p54	0.73755	102.508	25.9857	1275	206
BD18_1510091652.csv	p55	0.577	23.93	10.3622	999	48
BD18_1510091652.csv	p56	0.51359	22.854	29.2164	890	46
BD18_1510091652.csv	p57	1.0319	97.484	29.6399	1781	196
BD18_1510091652.csv	p58	1.04876	98.015	25.0144	1810	197
BD18_1510091652.csv	p59	1.08483	98.452	19.0779	1872	198
BD18_1510091652.csv	p61	1.13951	98.015	57.7088	1966	197
BD18_1510091652.csv	p62	0.60608	102.508	102.844	1049	206
BD18_1510091652.csv	p63	0.81259	29.312	107.889	1404	59
BD18_1510091652.csv	p64	0.88763	117.374	49.191	1533	236
BD18_1510091652.csv	p72	0.844	29.312	92.7196	1458	59
BD18_1510091652.csv	p76	0.48974	148.746	19.1479	849	299
BD18_1510091652.csv	p77	0.89636	29.765	15.9866	1548	60
BD18_1510091652.csv	p78	0.68461	29.765	41.0533	1184	60
BD18_1510091652.csv	p79	0.64273	29.312	449.403	1112	59
BD18_1510091652.csv	p80	0.57176	37.814	22.3037	990	76
BD18_1510091652.csv	p81	0.83819	37.814	16.0118	1448	76
BD18_1510091652.csv	p82	0.65088	45.739	12.9856	1126	92
BD18_1510091652.csv	p85	0.59678	28.267	134.405	1033	57
BD18_1510091652.csv	p87	0.59736	19.391	352.583	1034	39
BD18_1510091652.csv	p88	0.59736	37.814	450.451	1034	76
BD18_1510091652.csv	p90	0.48974	51.262	11.2336	849	103
BD18_1510091652.csv	p92	0.51417	49.78	12.6269	891	100
BD18_1510091652.csv	p94	0.59736	56.69	125.856	1034	114
