measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091715.csv	p1	0.4788	0	132.702	830	0
BD18_1510091715.csv	p2	0.50382	0	22.9079	873	0
BD18_1510091715.csv	p3	0.59576	23.806	10.8556	1031	48
BD18_1510091715.csv	p4	0.84537	29.297	605.218	1460	59
BD18_1510091715.csv	p6	1.13978	97.048	68.7079	1966	195
BD18_1510091715.csv	p7	0.76566	28.314	10.1761	1323	57
BD18_1510091715.csv	p9	1.12175	97.048	22.2746	1935	195
BD18_1510091715.csv	p10	0.45262	4.446	194.49	785	9
BD18_1510091715.csv	p12	0.88843	94.053	10.8278	1534	189
BD18_1510091715.csv	p13	0.91694	28.314	19.4447	1583	57
BD18_1510091715.csv	p15	1.09091	97.048	22.3164	1882	195
BD18_1510091715.csv	p18	1.11418	97.048	23.5212	1922	195
BD18_1510091715.csv	p19	0.97745	98.546	56.5033	1687	198
BD18_1510091715.csv	p20	0.89774	94.053	14.1959	1550	189
BD18_1510091715.csv	p21	0.94021	97.048	53.8041	1623	195
BD18_1510091715.csv	p22	0.81453	28.86	13.9924	1407	58
BD18_1510091715.csv	p24	0.56841	7.457	12.8223	984	15
BD18_1510091715.csv	p25	0.95476	97.578	53.4529	1648	196
BD18_1510091715.csv	p30	0.94428	95.55	53.6612	1630	192
BD18_1510091715.csv	p31	0.97338	95.55	56.5926	1680	192
BD18_1510091715.csv	p34	0.75984	28.314	12.1489	1313	57
BD18_1510091715.csv	p37	0.58645	3.479	41.0851	1015	7
BD18_1510091715.csv	p38	1.04203	97.048	33.4867	1798	195
BD18_1510091715.csv	p41	1.04902	97.048	30.9008	1810	195
BD18_1510091715.csv	p42	0.90064	101.104	13.5698	1555	203
BD18_1510091715.csv	p44	0.99025	97.048	49.2887	1709	195
BD18_1510091715.csv	p46	0.58005	7.457	15.0079	1004	15
BD18_1510091715.csv	p47	1.0688	97.578	26.645	1844	196
BD18_1510091715.csv	p48	0.79009	28.314	10.1511	1365	57
BD18_1510091715.csv	p49	1.05716	97.048	29.0472	1824	195
BD18_1510091715.csv	p50	1.1008	97.048	21.5233	1899	195
BD18_1510091715.csv	p52	1.08276	97.048	24.2237	1868	195
BD18_1510091715.csv	p54	0.75751	7.988	10.7203	1309	16
BD18_1510091715.csv	p55	0.78195	28.314	10.5216	1351	57
BD18_1510091715.csv	p56	0.89774	28.314	15.9675	1550	57
BD18_1510091715.csv	p59	0.73831	104.006	23.5162	1276	209
BD18_1510091715.csv	p60	0.86922	30.342	12.8113	1501	61
BD18_1510091715.csv	p61	0.54804	7.457	466.293	949	15
BD18_1510091715.csv	p62	0.71736	27.862	25.9342	1240	56
BD18_1510091715.csv	p65	1.02341	97.578	39.4471	1766	196
BD18_1510091715.csv	p66	0.49684	6.474	253.004	861	13
BD18_1510091715.csv	p67	1.10604	98.015	22.3269	1908	197
BD18_1510091715.csv	p68	0.68536	31.84	37.6485	1185	64
BD18_1510091715.csv	p70	0.79882	28.86	10.6768	1380	58
BD18_1510091715.csv	p72	0.57714	23.354	17.2564	999	47
BD18_1510091715.csv	p73	0.80638	28.86	13.0026	1393	58
BD18_1510091715.csv	p74	0.81162	30.342	14.2571	1402	61
BD18_1510091715.csv	p77	0.95127	98.982	53.4574	1642	199
BD18_1510091715.csv	p84	0.81919	28.86	14.4928	1415	58
BD18_1510091715.csv	p85	0.59634	37.862	11.8391	1032	76
BD18_1510091715.csv	p86	0.95941	98.982	53.1123	1656	199
BD18_1510091715.csv	p88	0.92392	102.071	117.388	1595	205
BD18_1510091715.csv	p89	1.07229	97.048	25.7723	1850	195
BD18_1510091715.csv	p93	1.08858	96.518	22.4876	1878	194
BD18_1510091715.csv	p94	0.88784	117.437	58.6838	1533	236
BD18_1510091715.csv	p97	0.64289	31.403	402.843	1112	63
BD18_1510091715.csv	p98	0.60623	119.996	15.5837	1049	241
BD18_1510091715.csv	p99	0.60623	104.536	93.5562	1049	210
