measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091712.csv	p1	0.47857	0	91.3535	829	0
BD18_1510091712.csv	p2	0.53388	2.028	10.3992	924	4
BD18_1510091712.csv	p3	1.0981	97.578	12.1931	1893	196
BD18_1510091712.csv	p4	1.05443	98.031	15.9967	1818	197
BD18_1510091712.csv	p5	0.58687	3.432	42.2035	1015	7
BD18_1510091712.csv	p7	0.64451	19.454	18.5414	1114	39
BD18_1510091712.csv	p8	1.07306	97.578	14.5026	1850	196
BD18_1510091712.csv	p10	0.45236	4.4	197.869	784	9
BD18_1510091712.csv	p11	0.59793	19.454	137.323	1034	39
BD18_1510091712.csv	p12	1.10742	98.031	11.6531	1909	197
BD18_1510091712.csv	p13	0.57755	23.354	14.1195	999	47
BD18_1510091712.csv	p14	1.01134	97.048	23.7952	1744	195
BD18_1510091712.csv	p15	0.99213	97.048	29.4411	1711	195
BD18_1510091712.csv	p16	0.95486	97.578	37.6903	1647	196
BD18_1510091712.csv	p19	0.96185	97.578	35.8549	1659	196
BD18_1510091712.csv	p20	0.58046	7.457	12.0908	1004	15
BD18_1510091712.csv	p22	1.08878	98.031	13.593	1877	197
BD18_1510091712.csv	p23	0.56882	7.457	10.47	984	15
BD18_1510091712.csv	p24	0.68469	29.36	13.2568	1183	59
BD18_1510091712.csv	p25	1.05792	97.048	15.7109	1824	195
BD18_1510091712.csv	p26	0.59793	29.36	98.6025	1034	59
BD18_1510091712.csv	p27	0.97582	97.578	38.4198	1683	196
BD18_1510091712.csv	p28	1.06549	97.048	15.0406	1837	195
BD18_1510091712.csv	p29	0.64393	29.36	156.638	1113	59
BD18_1510091712.csv	p30	1.01716	97.578	23.4876	1754	196
BD18_1510091712.csv	p31	0.75747	7.925	31.685	1308	16
BD18_1510091712.csv	p32	0.59793	37.378	91.6239	1034	75
BD18_1510091712.csv	p33	0.59793	56.769	30.9466	1034	114
BD18_1510091712.csv	p34	1.02532	97.578	21.3929	1768	196
BD18_1510091712.csv	p35	0.4972	6.506	224.405	861	13
BD18_1510091712.csv	p36	1.11266	98.031	11.7612	1918	197
BD18_1510091712.csv	p37	0.66256	102.524	10.9186	1145	206
BD18_1510091712.csv	p40	1.12255	98.031	11.3975	1935	197
BD18_1510091712.csv	p41	0.54844	7.457	396.65	949	15
BD18_1510091712.csv	p42	1.0358	98.031	19.961	1786	197
BD18_1510091712.csv	p43	1.07947	97.578	14.5291	1861	196
BD18_1510091712.csv	p44	1.04802	97.578	18.2156	1807	196
BD18_1510091712.csv	p46	1.14119	98.031	36.6916	1967	197
BD18_1510091712.csv	p47	0.92458	98.546	122.576	1595	198
BD18_1510091712.csv	p50	0.73884	94.068	25.0353	1276	189
BD18_1510091712.csv	p51	0.90071	96.533	13.1969	1554	194
BD18_1510091712.csv	p53	0.60667	101.556	94.456	1049	204
BD18_1510091712.csv	p54	0.88848	116.985	52.6926	1533	235
