measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091739.csv	p1	0.47857	0	106.082	829	0
BD18_1510091739.csv	p2	0.50535	0	17.9169	875	0
BD18_1510091739.csv	p3	0.54786	2.527	21.8825	948	5
BD18_1510091739.csv	p5	0.53505	2.527	18.879	926	5
BD18_1510091739.csv	p6	0.68469	29.359	22.014	1183	59
BD18_1510091739.csv	p7	0.53621	9.984	55.2474	928	20
BD18_1510091739.csv	p8	0.58687	3.479	53.0969	1015	7
BD18_1510091739.csv	p9	1.00144	98.109	31.8686	1727	197
BD18_1510091739.csv	p10	1.09985	97.578	14.839	1896	196
BD18_1510091739.csv	p11	1.1406	97.578	44.1742	1966	196
BD18_1510091739.csv	p13	0.45236	4.009	188.832	784	8
BD18_1510091739.csv	p14	0.81337	29.359	38.1354	1404	59
BD18_1510091739.csv	p15	0.61249	5.928	23.5693	1059	12
BD18_1510091739.csv	p17	0.83783	29.359	23.2143	1446	59
BD18_1510091739.csv	p18	0.54786	7.426	806.776	948	15
BD18_1510091739.csv	p19	1.06957	97.578	16.8374	1844	196
BD18_1510091739.csv	p20	1.11266	97.578	14.5753	1918	196
BD18_1510091739.csv	p23	0.59735	29.359	166.122	1033	59
BD18_1510091739.csv	p25	0.89663	99.544	10.5917	1547	200
BD18_1510091739.csv	p26	0.58046	7.426	17.4292	1004	15
BD18_1510091739.csv	p27	0.59735	19.438	287.717	1033	39
BD18_1510091739.csv	p28	0.59677	14.945	11.1951	1032	30
BD18_1510091739.csv	p29	0.84947	19.438	12.8208	1466	39
BD18_1510091739.csv	p30	0.64393	29.359	253.345	1113	59
BD18_1510091739.csv	p31	0.78193	8.034	12.7586	1350	16
BD18_1510091739.csv	p32	0.59735	37.331	225.995	1033	75
BD18_1510091739.csv	p33	0.64451	19.438	52.577	1114	39
BD18_1510091739.csv	p34	0.65092	45.895	12.9594	1125	92
BD18_1510091739.csv	p35	1.05967	97.578	17.8963	1827	196
BD18_1510091739.csv	p36	0.49545	10.436	117.672	858	21
BD18_1510091739.csv	p37	0.59793	56.706	108.43	1034	114
BD18_1510091739.csv	p38	0.80405	19.438	26.1909	1388	39
BD18_1510091739.csv	p39	0.49778	5.491	212.89	862	11
BD18_1510091739.csv	p40	0.84307	19.874	10.2946	1455	40
BD18_1510091739.csv	p41	1.12023	97.578	14.1734	1931	196
BD18_1510091739.csv	p42	0.57697	23.447	23.5046	998	47
BD18_1510091739.csv	p43	1.08645	97.578	15.7126	1873	196
BD18_1510091739.csv	p45	1.03521	98.109	23.3098	1785	197
BD18_1510091739.csv	p46	0.71846	28.922	10.0702	1241	58
BD18_1510091739.csv	p47	1.10683	97.141	14.3642	1908	195
BD18_1510091739.csv	p48	0.95486	97.578	42.8607	1647	196
BD18_1510091739.csv	p49	0.84248	29.359	24.7472	1454	59
BD18_1510091739.csv	p50	1.09344	97.578	15.2262	1885	196
BD18_1510091739.csv	p51	1.08121	98.109	16.1488	1864	197
BD18_1510091739.csv	p52	0.97524	98.109	44.3168	1682	197
BD18_1510091739.csv	p53	0.96127	97.578	41.9071	1658	196
BD18_1510091739.csv	p54	1.01134	97.578	29.3749	1744	196
BD18_1510091739.csv	p55	0.6614	102.601	10.5272	1143	206
BD18_1510091739.csv	p56	1.05443	97.141	19.208	1818	195
BD18_1510091739.csv	p57	0.924	100.059	120.866	1594	201
BD18_1510091739.csv	p58	1.07481	97.578	16.6012	1853	196
BD18_1510091739.csv	p59	0.94787	97.578	45.1769	1635	196
BD18_1510091739.csv	p61	0.73826	102.071	28.4581	1275	205
BD18_1510091739.csv	p63	0.60608	102.071	99.1799	1048	205
BD18_1510091739.csv	p65	0.8879	117.515	48.3939	1532	236
