measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091659.csv	p1	1.09847	96.127	20.8346	1895	193
BD18_1510091659.csv	p3	0.4468	2.574	105.165	775	5
BD18_1510091659.csv	p4	1.04029	97.547	32.3781	1795	196
BD18_1510091659.csv	p6	1.07869	96.127	22.9681	1861	193
BD18_1510091659.csv	p12	0.54688	1.966	11.6927	947	4
BD18_1510091659.csv	p16	1.10313	96.127	20.5134	1903	193
BD18_1510091659.csv	p18	1.09265	96.127	22.2672	1885	193
BD18_1510091659.csv	p22	1.00887	96.564	42.2204	1741	194
BD18_1510091659.csv	p23	0.71794	26.863	17.9468	1241	54
BD18_1510091659.csv	p25	0.50324	0	23.2888	872	0
BD18_1510091659.csv	p27	1.04494	98.077	30.654	1803	197
BD18_1510091659.csv	p29	0.44564	144.893	26.2537	773	291
BD18_1510091659.csv	p31	1.14037	96.127	69.2194	1967	193
BD18_1510091659.csv	p36	0.55677	3.104	11.9843	964	6
BD18_1510091659.csv	p37	0.4887	24.929	186.593	847	50
BD18_1510091659.csv	p39	0.4887	15.974	203.001	847	32
BD18_1510091659.csv	p43	1.05076	98.077	29.7235	1813	197
BD18_1510091659.csv	p44	0.4887	0	207.53	847	0
BD18_1510091659.csv	p46	0.52826	6.474	19.8713	915	13
BD18_1510091659.csv	p48	0.64289	26.863	324.092	1112	54
BD18_1510091659.csv	p50	1.056	98.077	28.0603	1822	197
BD18_1510091659.csv	p51	0.9437	93.631	72.0262	1629	188
BD18_1510091659.csv	p52	0.53233	2.574	19.1711	922	5
BD18_1510091659.csv	p57	0.82268	28.47	13.8917	1421	57
BD18_1510091659.csv	p60	0.49277	9.547	253.42	854	19
BD18_1510091659.csv	p61	0.45204	4.54	189.689	784	9
BD18_1510091659.csv	p63	0.49277	24.929	164.14	854	50
BD18_1510091659.csv	p64	0.97861	94.599	53.7459	1689	190
BD18_1510091659.csv	p65	0.47764	148.855	137.708	828	299
