measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091656.csv	p1	0.4788	0	129.84	830	0
BD18_1510091656.csv	p2	1.11535	97.063	16.0459	1924	195
BD18_1510091656.csv	p3	0.64987	45.817	15.3073	1124	92
BD18_1510091656.csv	p5	0.58645	3.541	54.877	1015	7
BD18_1510091656.csv	p6	0.84886	19.391	13.6837	1466	39
BD18_1510091656.csv	p7	0.64405	19.391	58.5182	1114	39
BD18_1510091656.csv	p8	0.57714	23.462	25.4675	999	47
BD18_1510091656.csv	p9	0.5975	56.768	105.091	1034	114
BD18_1510091656.csv	p10	0.58005	7.488	16.8869	1004	15
BD18_1510091656.csv	p11	0.73831	93.647	27.3508	1276	188
BD18_1510091656.csv	p12	0.97628	97.063	45.2606	1685	195
BD18_1510091656.csv	p13	0.5975	37.331	292.124	1034	75
BD18_1510091656.csv	p14	0.73249	59.233	10.6423	1266	119
BD18_1510091656.csv	p16	0.8541	29.453	24.488	1475	59
BD18_1510091656.csv	p17	1.03971	97.063	24.7562	1794	195
BD18_1510091656.csv	p18	0.49684	6.521	223.746	861	13
BD18_1510091656.csv	p20	0.68303	29.453	22.7405	1181	59
BD18_1510091656.csv	p21	0.66092	103.007	10.6934	1143	207
BD18_1510091656.csv	p22	0.81279	29.453	53.7759	1404	59
BD18_1510091656.csv	p23	1.04843	97.063	23.5954	1809	195
BD18_1510091656.csv	p24	0.84188	29.453	31.8433	1454	59
BD18_1510091656.csv	p25	0.92392	100.074	123.352	1595	201
BD18_1510091656.csv	p26	0.64289	29.453	289.378	1112	59
BD18_1510091656.csv	p27	0.64987	93.116	10.4469	1124	187
BD18_1510091656.csv	p29	1.07694	97.063	18.2005	1858	195
BD18_1510091656.csv	p31	0.5975	29.453	183.487	1034	59
BD18_1510091656.csv	p32	1.08218	97.063	17.9893	1867	195
BD18_1510091656.csv	p33	0.54863	7.488	230.588	950	15
BD18_1510091656.csv	p34	1.09731	97.063	15.6716	1893	195
BD18_1510091656.csv	p35	0.45088	10.499	13.0508	782	21
BD18_1510091656.csv	p36	0.5975	19.391	297.254	1034	39
BD18_1510091656.csv	p37	1.10662	97.063	16.1256	1909	195
BD18_1510091656.csv	p38	0.90006	95.581	11.2727	1554	192
BD18_1510091656.csv	p39	0.45029	15.413	12.2146	781	31
BD18_1510091656.csv	p40	1.03563	97.5	25.2068	1787	196
BD18_1510091656.csv	p41	0.45204	4.508	197.228	784	9
BD18_1510091656.csv	p42	1.02341	97.5	27.2278	1766	196
BD18_1510091656.csv	p43	0.50848	11.029	19.2242	881	22
BD18_1510091656.csv	p45	1.07054	97.5	19.8474	1847	196
BD18_1510091656.csv	p47	0.53641	7.488	69.4524	929	15
BD18_1510091656.csv	p48	0.89483	99.013	10.0328	1545	199
BD18_1510091656.csv	p49	0.80522	19.391	26.6918	1391	39
BD18_1510091656.csv	p50	1.0048	97.063	32.9594	1734	195
BD18_1510091656.csv	p52	1.0176	98.03	28.7012	1756	197
BD18_1510091656.csv	p53	1.05309	97.5	22.0227	1817	196
BD18_1510091656.csv	p55	1.06531	97.5	19.9573	1838	196
BD18_1510091656.csv	p56	1.05891	97.063	20.4282	1827	195
BD18_1510091656.csv	p57	1.13978	97.5	50.2469	1966	196
BD18_1510091656.csv	p58	0.60623	102.04	107.2	1049	205
BD18_1510091656.csv	p59	1.09091	97.063	16.2164	1882	195
BD18_1510091656.csv	p61	0.88784	116.969	47.9001	1533	235
BD18_1510091656.csv	p67	0.49219	146.359	11.3331	853	294
