measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091722.csv	p1	0.47834	0	155.809	829	0
BD18_1510091722.csv	p2	1.10106	98.062	19.4194	1899	197
BD18_1510091722.csv	p3	0.50453	0	18.0807	874	0
BD18_1510091722.csv	p4	0.68203	75.177	16.6218	1179	151
BD18_1510091722.csv	p5	1.1063	98.062	18.9679	1908	197
BD18_1510091722.csv	p7	1.11503	97.547	19.2174	1923	196
BD18_1510091722.csv	p9	0.47834	64.147	17.8915	829	129
BD18_1510091722.csv	p13	0.58659	3.526	36.5994	1015	7
BD18_1510091722.csv	p14	0.80367	19.406	62.0002	1388	39
BD18_1510091722.csv	p17	0.97303	98.592	58.8117	1679	198
BD18_1510091722.csv	p19	0.82869	19.406	33.2382	1431	39
BD18_1510091722.csv	p21	0.45215	4.493	206.648	784	9
BD18_1510091722.csv	p22	1.0417	96.564	28.45	1797	194
BD18_1510091722.csv	p23	0.83801	19.406	30.9188	1447	39
BD18_1510091722.csv	p24	0.47834	79.17	18.6009	829	159
BD18_1510091722.csv	p27	0.88806	94.552	10.679	1533	190
BD18_1510091722.csv	p30	0.84615	19.406	38.3291	1461	39
BD18_1510091722.csv	p31	1.01551	97.095	36.5605	1752	195
BD18_1510091722.csv	p32	1.12376	97.547	19.9042	1938	196
BD18_1510091722.csv	p33	0.68843	90.636	25.9964	1190	182
BD18_1510091722.csv	p35	0.85023	19.406	38.1062	1468	39
BD18_1510091722.csv	p36	1.08593	98.062	20.2465	1873	197
BD18_1510091722.csv	p37	0.89795	19.406	13.4215	1550	39
BD18_1510091722.csv	p38	0.58135	7.394	10.658	1006	15
BD18_1510091722.csv	p39	1.04927	98.592	27.352	1810	198
BD18_1510091722.csv	p40	0.49696	6.427	250.89	861	13
BD18_1510091722.csv	p42	0.81298	29.39	99.3937	1404	59
BD18_1510091722.csv	p43	1.07604	97.095	21.319	1856	195
BD18_1510091722.csv	p44	0.89213	101.041	11.4617	1540	203
BD18_1510091722.csv	p46	1.0644	98.062	23.9388	1836	197
BD18_1510091722.csv	p47	0.78272	19.406	21.2115	1352	39
BD18_1510091722.csv	p48	0.58775	16.396	34.2611	1017	33
BD18_1510091722.csv	p49	1.11212	97.095	19.6638	1918	195
BD18_1510091722.csv	p51	1.00387	98.592	39.8971	1732	198
BD18_1510091722.csv	p52	0.94335	96.127	92.7704	1628	193
BD18_1510091722.csv	p53	1.05625	98.592	25.6932	1822	198
BD18_1510091722.csv	p54	0.84092	29.39	66.0112	1452	59
BD18_1510091722.csv	p56	1.09466	97.095	18.5995	1888	195
BD18_1510091722.csv	p57	0.54818	7.394	412.374	949	15
BD18_1510091722.csv	p58	0.51384	16.396	89.4123	890	33
BD18_1510091722.csv	p60	0.78912	19.406	21.9581	1363	39
BD18_1510091722.csv	p61	0.73849	103.522	22.8115	1276	208
BD18_1510091722.csv	p62	0.57727	23.384	23.006	999	47
BD18_1510091722.csv	p64	0.51384	22.932	76.8767	890	46
BD18_1510091722.csv	p65	0.8962	94.084	14.0002	1547	189
BD18_1510091722.csv	p67	0.85197	29.39	49.0946	1471	59
BD18_1510091722.csv	p68	0.58833	22.386	28.8249	1018	45
BD18_1510091722.csv	p69	0.86478	19.406	20.7349	1493	39
BD18_1510091722.csv	p70	0.64362	19.406	67.8054	1113	39
BD18_1510091722.csv	p72	0.89795	29.39	25.9816	1550	59
BD18_1510091722.csv	p74	0.68436	29.39	30.5633	1183	59
BD18_1510091722.csv	p75	0.64304	29.39	363.365	1112	59
BD18_1510091722.csv	p76	0.92414	101.478	112.104	1595	204
BD18_1510091722.csv	p77	0.51384	33.353	11.9731	890	67
BD18_1510091722.csv	p78	0.90028	94.552	14.2676	1554	190
BD18_1510091722.csv	p79	1.02191	98.062	34.2403	1763	197
BD18_1510091722.csv	p83	1.01086	98.062	38.0672	1744	197
BD18_1510091722.csv	p84	0.84092	37.346	10.7085	1452	75
BD18_1510091722.csv	p85	1.03355	98.062	31.2377	1783	197
BD18_1510091722.csv	p86	0.57262	37.799	15.7345	991	76
BD18_1510091722.csv	p87	0.65002	45.786	36.598	1124	92
BD18_1510091722.csv	p88	1.14006	98.062	59.1594	1966	197
BD18_1510091722.csv	p89	0.59706	46.784	11.3109	1033	94
BD18_1510091722.csv	p91	1.0708	98.592	22.4007	1847	198
BD18_1510091722.csv	p92	0.59706	28.408	150.442	1033	57
BD18_1510091722.csv	p95	0.59706	19.406	310.076	1033	39
BD18_1510091722.csv	p96	0.60637	103.522	76.5105	1049	208
BD18_1510091722.csv	p97	0.59706	37.799	399.079	1033	76
BD18_1510091722.csv	p100	0.47834	48.75	15.7271	829	98
BD18_1510091722.csv	p102	0.59764	56.675	208.134	1034	114
BD18_1510091722.csv	p104	0.58659	69.124	17.2784	1015	139
BD18_1510091722.csv	p105	0.68902	107.484	15.9741	1191	216
BD18_1510091722.csv	p106	0.88806	117.016	51.211	1533	235
BD18_1510091722.csv	p117	0.47834	145.782	23.5748	829	293
