measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091725.csv	p1	0.88811	116.954	49.6304	1532	235
BD18_1510091725.csv	p5	0.50081	0	21.7977	867	0
BD18_1510091725.csv	p6	0.96674	100.028	49.4037	1667	201
BD18_1510091725.csv	p7	0.5113	0	55.8216	885	0
BD18_1510091725.csv	p8	0.81007	28.392	11.4425	1398	57
BD18_1510091725.csv	p9	1.03721	100.028	34.6422	1788	201
BD18_1510091725.csv	p12	1.11933	99.513	21.3107	1929	200
BD18_1510091725.csv	p13	0.67961	32.885	18.0805	1174	66
BD18_1510091725.csv	p18	0.53401	2.06	10.6782	924	4
BD18_1510091725.csv	p19	0.57769	23.369	15.2334	999	47
BD18_1510091725.csv	p20	0.50547	0	28.5167	875	0
BD18_1510091725.csv	p21	0.48043	42.76	637.623	832	86
BD18_1510091725.csv	p22	0.92481	104.068	103.35	1595	209
BD18_1510091725.csv	p24	0.61962	120.963	25.4841	1071	243
BD18_1510091725.csv	p28	1.08264	100.028	24.0268	1866	201
BD18_1510091725.csv	p30	0.51479	15.429	32.1659	891	31
BD18_1510091725.csv	p32	0.62428	115.987	26.4505	1079	233
BD18_1510091725.csv	p34	0.48043	53.243	677.665	832	107
BD18_1510091725.csv	p39	1.10477	100.028	21.0756	1904	201
BD18_1510091725.csv	p46	1.11001	98.093	21.5414	1913	197
BD18_1510091725.csv	p48	0.48043	64.226	619.887	832	129
BD18_1510091725.csv	p50	0.45247	4.446	215.509	784	9
BD18_1510091725.csv	p56	0.54857	7.504	273.884	949	15
BD18_1510091725.csv	p60	1.04828	99.513	31.1098	1807	200
BD18_1510091725.csv	p64	0.48043	79.607	645.321	832	160
BD18_1510091725.csv	p69	0.97373	100.558	50.179	1679	202
BD18_1510091725.csv	p72	0.4484	148.825	29.8123	777	299
BD18_1510091725.csv	p74	0.51945	10.92	19.8628	899	22
BD18_1510091725.csv	p75	1.0046	97.563	44.6127	1732	196
BD18_1510091725.csv	p82	0.82055	30.327	12.0184	1416	61
BD18_1510091725.csv	p85	1.0675	94.022	25.678	1840	189
BD18_1510091725.csv	p86	0.52469	15.429	10.5902	908	31
BD18_1510091725.csv	p87	0.58643	2.949	47.7667	1014	6
BD18_1510091725.csv	p89	0.49382	43.306	129.971	855	87
BD18_1510091725.csv	p92	0.48043	148.825	687.572	832	299
BD18_1510091725.csv	p93	0.49382	51.839	142.714	855	104
BD18_1510091725.csv	p98	0.49382	64.226	121.922	855	129
BD18_1510091725.csv	p103	0.56779	7.504	10.5421	982	15
BD18_1510091725.csv	p106	1.09429	100.028	21.2947	1886	201
BD18_1510091725.csv	p107	0.90093	27.878	14.1337	1554	56
BD18_1510091725.csv	p108	0.49382	79.607	128.211	855	160
BD18_1510091725.csv	p111	0.68544	33.353	41.3955	1184	67
BD18_1510091725.csv	p112	0.52411	9.938	18.024	907	20
BD18_1510091725.csv	p115	0.59574	14.961	10.3025	1030	30
BD18_1510091725.csv	p119	0.59633	23.9	19.6099	1031	48
BD18_1510091725.csv	p121	0.49382	148.825	140.854	855	299
BD18_1510091725.csv	p122	0.68835	66.238	57.5951	1189	133
BD18_1510091725.csv	p127	0.97722	94.022	51.6189	1685	189
BD18_1510091725.csv	p128	0.91549	27.878	13.5764	1579	56
BD18_1510091725.csv	p131	0.89685	92.54	17.2806	1547	186
BD18_1510091725.csv	p135	0.50547	13.463	16.7185	875	27
BD18_1510091725.csv	p136	0.94402	93.585	56.8627	1628	188
BD18_1510091725.csv	p138	0.51071	13.463	35.585	884	27
BD18_1510091725.csv	p139	0.95626	94.022	51.5777	1649	189
BD18_1510091725.csv	p140	1.01042	95.082	42.5705	1742	191
BD18_1510091725.csv	p143	0.4484	24.867	30.8565	777	50
BD18_1510091725.csv	p145	0.96091	94.022	50.586	1657	189
BD18_1510091725.csv	p146	0.44898	15.429	48.4848	778	31
BD18_1510091725.csv	p147	0.5113	50.778	14.436	885	102
BD18_1510091725.csv	p149	0.84618	29.89	738.196	1460	60
BD18_1510091725.csv	p150	0.59633	37.893	17.2879	1031	76
BD18_1510091725.csv	p152	0.46529	0	10.945	806	0
BD18_1510091725.csv	p153	0.46994	0	15.8476	814	0
BD18_1510091725.csv	p155	0.59633	56.176	12.1983	1031	113
BD18_1510091725.csv	p156	0.9481	93.585	55.1849	1635	188
BD18_1510091725.csv	p158	1.0739	95.082	25.2881	1851	191
BD18_1510091725.csv	p160	1.12282	95.082	21.7535	1935	191
BD18_1510091725.csv	p161	0.48043	16.396	608.33	832	33
BD18_1510091725.csv	p162	1.11525	96.128	21.9206	1922	193
BD18_1510091725.csv	p163	0.48043	24.867	581.96	832	50
BD18_1510091725.csv	p166	1.09079	95.082	22.0678	1880	191
BD18_1510091725.csv	p168	0.48043	0	874.547	832	0
BD18_1510091725.csv	p170	0.48683	0	14.7288	843	0
BD18_1510091725.csv	p172	0.9912	95.613	47.6674	1709	192
BD18_1510091725.csv	p173	0.98246	97.563	50.3804	1694	196
BD18_1510091725.csv	p174	0.51479	51.309	17.7936	891	103
BD18_1510091725.csv	p175	0.49382	24.867	123.799	855	50
BD18_1510091725.csv	p176	1.08613	94.646	22.3026	1872	190
BD18_1510091725.csv	p178	1.1403	99.513	65.9892	1965	200
BD18_1510091725.csv	p180	0.49499	6.974	303.385	857	14
BD18_1510091725.csv	p182	0.60681	108.53	103.722	1049	218
BD18_1510091725.csv	p184	1.04187	95.082	32.4979	1796	191
BD18_1510091725.csv	p185	1.05818	96.128	28.47	1824	193
BD18_1510091725.csv	p190	1.09836	97.563	20.0135	1893	196
BD18_1510091725.csv	p196	0.6435	32.885	375.215	1112	66
BD18_1510091725.csv	p198	0.93937	93.585	57.3823	1620	188
BD18_1510091725.csv	p200	0.68544	26.442	33.0893	1184	53
BD18_1510091725.csv	p202	0.71689	26.895	13.0275	1238	54
BD18_1510091725.csv	p206	0.8159	27.878	11.9395	1408	56
BD18_1510091725.csv	p216	0.64408	26.895	329.376	1113	54
BD18_1510091725.csv	p222	0.99819	97.563	45.4631	1721	196
BD18_1510091725.csv	p224	0.4484	52.806	32.5806	777	106
BD18_1510091725.csv	p228	0.4484	64.756	28.7758	777	130
BD18_1510091725.csv	p229	0.60681	58.734	22.7432	1049	118
BD18_1510091725.csv	p230	1.0343	98.093	35.147	1783	197
BD18_1510091725.csv	p236	1.06284	98.093	27.9279	1832	197
BD18_1510091725.csv	p237	0.4484	79.607	29.3312	777	160
BD18_1510091725.csv	p242	0.73843	107.048	20.6067	1275	215
BD18_1510091725.csv	p244	0.73902	90.59	23.2267	1276	182
BD18_1510091725.csv	p245	1.01857	98.093	39.5805	1756	197
BD18_1510091725.csv	p246	0.60681	74.631	27.2204	1049	150
BD18_1510091725.csv	p247	0.60681	90.59	96.2017	1049	182
