measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091702.csv	p1	0.47892	0	129.213	830	0
BD18_1510091702.csv	p2	0.50394	0	14.9849	873	0
BD18_1510091702.csv	p3	1.03414	97.578	34.4238	1784	196
BD18_1510091702.csv	p4	0.54818	2.574	11.6048	949	5
BD18_1510091702.csv	p6	1.06847	96.58	26.4194	1843	194
BD18_1510091702.csv	p7	0.89504	101.041	13.5136	1545	203
BD18_1510091702.csv	p8	0.53363	2.044	16.6099	924	4
BD18_1510091702.csv	p9	0.55749	3.011	15.2924	965	6
BD18_1510091702.csv	p10	1.11038	96.58	21.737	1915	194
BD18_1510091702.csv	p11	1.08361	97.578	23.8687	1869	196
BD18_1510091702.csv	p13	0.78446	28.907	10.2856	1355	58
BD18_1510091702.csv	p14	0.81356	29.422	13.9531	1405	59
BD18_1510091702.csv	p15	0.79727	30.389	10.3369	1377	61
BD18_1510091702.csv	p17	0.586	3.541	46.8052	1014	7
BD18_1510091702.csv	p18	0.97536	98.109	54.9633	1683	197
BD18_1510091702.csv	p19	0.81764	29.859	13.7218	1412	60
BD18_1510091702.csv	p20	0.96197	98.109	51.8191	1660	197
BD18_1510091702.csv	p21	1.10572	96.58	21.4126	1907	194
BD18_1510091702.csv	p22	0.45215	4.54	191.236	784	9
BD18_1510091702.csv	p23	0.73849	104.115	21.4488	1276	209
BD18_1510091702.csv	p24	0.88573	94.567	10.367	1529	190
BD18_1510091702.csv	p25	1.0516	98.639	29.2831	1814	198
BD18_1510091702.csv	p26	1.08011	98.109	23.3104	1863	197
BD18_1510091702.csv	p27	0.7606	28.907	12.8435	1314	58
BD18_1510091702.csv	p28	1.058	97.578	27.5701	1825	196
BD18_1510091702.csv	p29	1.09524	97.126	21.5824	1889	195
BD18_1510091702.csv	p32	0.76991	28.907	10.1359	1330	58
BD18_1510091702.csv	p33	1.0126	98.639	41.2279	1747	198
BD18_1510091702.csv	p34	1.11852	97.578	21.8505	1929	196
BD18_1510091702.csv	p35	0.58018	7.55	12.599	1004	15
BD18_1510091702.csv	p36	1.02017	96.58	37.8718	1760	194
BD18_1510091702.csv	p39	0.77981	28.907	10.3012	1347	58
BD18_1510091702.csv	p41	1.11387	96.065	21.7357	1921	193
BD18_1510091702.csv	p42	0.79086	28.907	10.4106	1366	58
BD18_1510091702.csv	p43	0.92414	102.009	118.176	1595	205
BD18_1510091702.csv	p44	0.75769	8.065	23.1072	1309	16
BD18_1510091702.csv	p45	0.84557	29.422	524.94	1460	59
BD18_1510091702.csv	p46	1.07429	98.109	25.7309	1853	197
BD18_1510091702.csv	p47	0.49696	6.037	239.906	861	12
BD18_1510091702.csv	p49	0.97943	97.578	55.1144	1690	196
BD18_1510091702.csv	p51	0.91716	28.907	19.1475	1583	58
BD18_1510091702.csv	p56	0.89795	28.455	27.2646	1550	57
BD18_1510091702.csv	p57	0.54818	7.55	515.704	949	15
BD18_1510091702.csv	p60	0.64304	28.455	432.584	1112	57
BD18_1510091702.csv	p62	1.14006	97.578	68.9534	1966	196
BD18_1510091702.csv	p63	0.95382	98.109	53.426	1646	197
BD18_1510091702.csv	p65	1.04345	96.58	32.1764	1800	194
BD18_1510091702.csv	p68	0.94218	98.639	58.5132	1626	198
BD18_1510091702.csv	p69	1.06265	97.578	27.2581	1833	196
BD18_1510091702.csv	p70	0.71753	28.455	29.6798	1240	57
BD18_1510091702.csv	p72	0.53537	7.004	54.6426	927	14
BD18_1510091702.csv	p73	0.94567	96.065	56.7954	1632	193
BD18_1510091702.csv	p74	0.57727	23.462	13.894	999	47
BD18_1510091702.csv	p75	1.00911	96.58	41.3906	1741	194
BD18_1510091702.csv	p77	0.59648	14.508	12.4248	1032	29
BD18_1510091702.csv	p79	0.68552	31.387	39.3765	1185	63
BD18_1510091702.csv	p80	0.59764	19.469	67.1926	1034	39
BD18_1510091702.csv	p81	0.60637	104.551	84.4513	1049	210
BD18_1510091702.csv	p82	0.90202	101.556	12.8981	1557	204
BD18_1510091702.csv	p84	0.88806	117.031	49.7975	1533	235
