measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091732.csv	p1	0.47892	0	102.821	830	0
BD18_1510091732.csv	p2	0.50744	0	18.2041	879	0
BD18_1510091732.csv	p3	0.76875	28.439	10.0216	1328	57
BD18_1510091732.csv	p4	1.10688	96.596	20.627	1909	194
BD18_1510091732.csv	p7	1.01086	96.596	41.3423	1744	194
BD18_1510091732.csv	p9	0.71753	28.439	26.7282	1240	57
BD18_1510091732.csv	p11	1.1127	98.093	21.7517	1919	197
BD18_1510091732.csv	p12	1.05509	96.596	27.5705	1820	194
BD18_1510091732.csv	p13	0.45273	4.478	201.808	785	9
BD18_1510091732.csv	p14	1.06731	97.111	25.546	1841	195
BD18_1510091732.csv	p15	1.08651	98.093	21.7098	1874	197
BD18_1510091732.csv	p20	1.10223	96.596	19.4736	1901	194
BD18_1510091732.csv	p22	0.58659	2.98	46.3667	1015	6
BD18_1510091732.csv	p24	0.89737	94.552	14.4355	1549	190
BD18_1510091732.csv	p25	0.89446	100.574	13.4604	1544	202
BD18_1510091732.csv	p26	0.81356	28.876	14.8152	1405	58
BD18_1510091732.csv	p27	0.68552	31.325	41.7132	1185	63
BD18_1510091732.csv	p28	1.0481	98.093	29.7645	1808	197
BD18_1510091732.csv	p29	0.5668	7.941	12.6943	981	16
BD18_1510091732.csv	p30	1.13948	96.596	62.3691	1965	194
BD18_1510091732.csv	p31	0.7606	28.439	13.0971	1314	57
BD18_1510091732.csv	p34	1.07429	97.641	25.0666	1853	196
BD18_1510091732.csv	p35	0.75769	7.941	10.0818	1309	16
BD18_1510091732.csv	p36	0.78155	29.406	11.7249	1350	59
BD18_1510091732.csv	p38	0.99281	96.596	48.0021	1713	194
BD18_1510091732.csv	p39	1.09699	97.111	20.2067	1892	195
BD18_1510091732.csv	p40	0.94393	98.608	58.1197	1629	198
BD18_1510091732.csv	p41	1.00445	96.596	42.9886	1733	194
BD18_1510091732.csv	p42	0.95324	97.111	54.952	1645	195
BD18_1510091732.csv	p43	0.64304	28.439	442.632	1112	57
BD18_1510091732.csv	p45	1.04228	97.111	31.2938	1798	195
BD18_1510091732.csv	p46	1.02657	97.111	36.6119	1771	195
BD18_1510091732.csv	p47	0.9771	96.596	56.6057	1686	194
BD18_1510091732.csv	p49	1.03763	98.093	32.6476	1790	197
BD18_1510091732.csv	p50	0.94044	96.596	59.6881	1623	194
BD18_1510091732.csv	p51	1.03181	97.641	34.0084	1780	196
BD18_1510091732.csv	p52	1.11678	97.111	20.7024	1926	195
BD18_1510091732.csv	p53	0.54759	7.41	476.459	948	15
BD18_1510091732.csv	p56	0.8188	29.406	15.1385	1414	59
BD18_1510091732.csv	p57	0.73849	103.553	23.5587	1276	208
BD18_1510091732.csv	p58	1.0807	98.093	23.3858	1864	197
BD18_1510091732.csv	p59	0.77457	28.876	11.0572	1338	58
BD18_1510091732.csv	p60	0.96139	98.608	52.5833	1659	198
BD18_1510091732.csv	p62	0.49696	6.428	235.746	861	13
BD18_1510091732.csv	p64	0.57727	22.886	14.2141	999	46
BD18_1510091732.csv	p65	0.78737	28.876	11.9021	1360	58
BD18_1510091732.csv	p66	0.68843	78.671	21.0492	1190	158
BD18_1510091732.csv	p69	1.06324	97.111	26.3855	1834	195
BD18_1510091732.csv	p70	0.7961	30.374	11.0746	1375	61
BD18_1510091732.csv	p71	0.92356	101.525	116.821	1594	204
BD18_1510091732.csv	p76	0.80949	28.876	14.5778	1398	58
BD18_1510091732.csv	p77	0.88747	117.484	51.0662	1532	236
BD18_1510091732.csv	p78	0.82404	29.406	16.0329	1423	59
BD18_1510091732.csv	p80	0.84557	29.406	500.637	1460	59
BD18_1510091732.csv	p81	0.87002	30.374	13.0843	1502	61
BD18_1510091732.csv	p84	0.60405	120.464	15.8846	1045	242
BD18_1510091732.csv	p85	0.89737	28.876	19.106	1549	58
BD18_1510091732.csv	p86	0.91599	28.876	21.797	1581	58
BD18_1510091732.csv	p87	0.60521	104.068	92.6098	1047	209
